
=== Rating Type: ENJOYMENT ===
user_type    model  true_avg_unfiltered  true_avg_filtered  true_avg_delta  true_top_unfiltered  true_top_filtered  true_top_delta  true_min_unfiltered  true_min_filtered  true_min_delta  mse_unfiltered  mse_filtered  mse_delta
   random      svd               0.4055             0.4049         -0.0006               0.5629             0.5548         -0.0081               0.2701             0.2775          0.0075          0.0087        0.0086    -0.0001
   random      knn               0.4058             0.4051         -0.0006               0.5629             0.5548         -0.0081               0.2702             0.2777          0.0075          0.0070        0.0069    -0.0002
   random baseline               0.4059             0.4053         -0.0007               0.5630             0.5550         -0.0081               0.2709             0.2783          0.0074          0.0056        0.0055    -0.0001
   random      avg               0.4057             0.4051         -0.0006               0.5630             0.5549         -0.0081               0.2704             0.2778          0.0075          0.0071        0.0070    -0.0002
      top      svd               0.3503             0.3493         -0.0010               0.5391             0.5343         -0.0048               0.2139             0.2160          0.0021          0.0039        0.0039     0.0000
      top      knn               0.3521             0.3510         -0.0011               0.5391             0.5343         -0.0048               0.2150             0.2170          0.0020          0.0032        0.0032    -0.0000
      top baseline               0.3514             0.3503         -0.0011               0.5391             0.5343         -0.0048               0.2154             0.2173          0.0020          0.0032        0.0032    -0.0000
      top      avg               0.3513             0.3502         -0.0011               0.5391             0.5343         -0.0048               0.2148             0.2168          0.0020          0.0034        0.0034     0.0000


=== Rating Type: PLAYCOUNT ===
user_type    model  true_avg_unfiltered  true_avg_filtered  true_avg_delta  true_top_unfiltered  true_top_filtered  true_top_delta  true_min_unfiltered  true_min_filtered  true_min_delta  mse_unfiltered  mse_filtered  mse_delta
   random      svd               0.0050             0.0048         -0.0002               0.0285             0.0265         -0.0020               0.0004             0.0005          0.0000          0.0017        0.0017     0.0000
   random      knn               0.0051             0.0049         -0.0002               0.0287             0.0267         -0.0020               0.0004             0.0005          0.0000          0.0001        0.0001    -0.0000
   random baseline               0.0051             0.0049         -0.0002               0.0288             0.0268         -0.0020               0.0004             0.0005          0.0000          0.0001        0.0001    -0.0000
   random      avg               0.0051             0.0049         -0.0002               0.0287             0.0267         -0.0020               0.0004             0.0005          0.0000          0.0006        0.0006     0.0000
      top      svd               0.0009             0.0009         -0.0000               0.0078             0.0076         -0.0002               0.0000             0.0000          0.0000          0.0005        0.0005     0.0000
      top      knn               0.0012             0.0012         -0.0000               0.0086             0.0084         -0.0003               0.0000             0.0000          0.0000          0.0000        0.0000    -0.0000
      top baseline               0.0012             0.0012         -0.0000               0.0086             0.0084         -0.0003               0.0000             0.0000          0.0000          0.0000        0.0000    -0.0000
      top      avg               0.0011             0.0011         -0.0000               0.0084             0.0081         -0.0002               0.0000             0.0000          0.0000          0.0002        0.0002     0.0000

