id,username,is_active,join_date,playmode,playstyle,beatmap_playcounts_count,favourite_beatmapset_count,scores_recent_count,statistics_pp,statistics_accuracy,statistics_play_count,statistics_play_time,statistics_global_rank,statistics_country_rank,statistics_hit_accuracy,statistics_maximum_combo,statistics_level_current
2,peppy,True,2007-08-28T03:09:12+00:00,osu,"['mouse', 'touch']",440,14,0,1145.05,,7709,739975,735713.0,15155.0,96.5903,746,67
3,BanchoBot,False,2007-08-28T03:09:14+00:00,osu,,0,0,0,0.0,,0,0,,,0.0,0,1
53,phill_old,False,2007-08-28T04:34:58+00:00,osu,,2,0,0,0.0,,51,6630,,,66.9292,0,0
55,Zallius,True,2007-08-28T04:53:18+00:00,osu,"['mouse', 'keyboard']",3555,12,0,2532.12,,24384,1743393,335493.0,1.0,98.296,1828,99
56,Tiberio_old,False,2007-08-29T12:45:44+00:00,osu,"['mouse', 'keyboard']",1,0,0,0.0,,27,3110,,,72.1392,101,6
57,Ellesime,False,2007-08-30T18:09:05+00:00,osu,,0,0,0,0.0,,15,1950,,,84.5034,0,0
59,Lumino,False,2007-08-31T19:18:11+00:00,osu,,3,0,0,0.0,,206,26780,,,89.2149,0,0
60,tensheapz,False,2007-09-01T13:49:05+00:00,osu,,84,0,0,0.0,,71,4341,,,84.3818,309,12
61,tsububu,False,2007-09-01T23:51:26+00:00,osu,,3,0,0,0.0,,236,30580,,,89.6597,84,19
62,GEN_old,False,2007-09-04T10:05:26+00:00,osu,,0,0,0,0.0,,12,1560,,,61.9517,0,0
63,dolseni,False,2007-09-04T16:30:22+00:00,osu,,0,0,0,0.0,,26,3380,,,62.5722,0,0
65,Kanda Aoi,False,2007-09-05T19:06:16+00:00,taiko,,247,1,0,0.0,,139,10760,,,87.7626,215,14
66,deepfriedasian,False,2007-09-05T20:57:00+00:00,osu,,11,0,0,0.0,,145,13597,,,84.2525,271,13
71,diela,False,2007-09-09T02:51:51+00:00,taiko,,99,0,0,0.0,,98,8708,,,96.0971,517,14
72,Fruit_old,False,2007-09-12T10:07:13+00:00,osu,,15,0,0,0.0,,378,43740,,,94.1531,461,28
73,luckymf_old,False,2007-09-16T01:28:55+00:00,osu,"['mouse', 'keyboard']",38,0,0,0.0,,185,22376,,,89.06,536,19
78,appx_old,False,2007-09-16T13:15:31+00:00,osu,,0,0,0,0.0,,63,5190,,,87.2356,202,11
87,pottie_old,False,2007-09-16T23:23:25+00:00,osu,,3,0,0,0.0,,71,9230,,,83.855,0,0
88,eyup,False,2007-09-17T01:47:05+00:00,osu,,32,0,0,0.0,,1096,142480,,,97.6989,0,0
94,chan,False,2007-09-17T11:02:12+00:00,osu,,52,0,0,0.0,,1759,227470,,,96.3963,529,58
95,Elmo_old,False,2007-09-17T14:20:47+00:00,osu,,0,0,0,0.0,,47,5910,,,86.2772,0,11
101,Alot,False,2007-09-18T16:06:41+00:00,osu,"['mouse', 'keyboard', 'tablet', 'touch']",2188,0,0,0.0,,7720,734078,,,95.9941,1498,97
102,nekodex,True,2007-09-18T17:50:10+00:00,osu,,66,0,0,0.0,,118,9154,,,88.2447,492,14
106,Behon,False,2007-09-19T16:52:00+00:00,osu,"['tablet', 'touch']",438,16,0,1357.53,,5711,710125,647538.0,115820.0,97.7163,915,91
108,ZZT the Fifth,False,2007-09-19T20:52:01+00:00,osu,,12,2,0,0.0,,434,51720,,,91.368,296,19
115,synchroblst,False,2007-09-20T21:54:23+00:00,mania,"['mouse', 'keyboard', 'tablet', 'touch']",191,17,0,0.0,,63,6356,,,85.4676,736,16
